Category,Product Name,Current Price,Original Price,Product URL
Food Cupboard,Java Oats - Raisin Cookies 300G,KES 579,No discount,https://naivas.online/java-oats-raisin-cookies-300g
Food Cupboard,Java Oats - Raisin Cookies 90G,KES 239,No discount,https://naivas.online/java-oats-raisin-cookies-90g
Food Cupboard,Masterchef Cooking Oil 5Ltr,"KES 1,269","KES 1,419",https://naivas.online/masterchef-cooking-oil-5ltr
Food Cupboard,Pep Tomato Sauce 1Kg,KES 169,KES 230,https://naivas.online/pep-tomato-sauce-1kg
Food Cupboard,Ken Tomato Sauce 1Kg,KES 205,No discount,https://naivas.online/ken-tomato-sauce-1kg
Food Cupboard,Manji Choco Chip Cookies 500g,KES 429,KES 500,https://naivas.online/manji-choco-chip-cookies-500g
Food Cupboard,Manji Coconut Cookies 500g,KES 319,KES 400,https://naivas.online/manji-coconut-cookies-500g
Food Cupboard,Manjiginger Cookies 500g,KES 319,KES 400,https://naivas.online/manjiginger-cookies-500g
Food Cupboard,Manji Digestive Jar 1Kg,KES 655,No discount,https://naivas.online/manji-digestive-jar-1kg
Food Cupboard,Tropical Heroes Tomato Crisps 40G,KES 49,KES 60,https://naivas.online/tropical-heroes-tomato-crisps-40-g
Food Cupboard,Oreo Original Biscuit 57g,KES 75,No discount,https://naivas.online/oreo-original-biscuit-52-5g
Food Cupboard,Tropical H/Tomato Crisps 50G,KES 60,No discount,https://naivas.online/tropical-heat-potato-crisps-tomato-50g
Food Cupboard,Naivas Barbeque Crisps 30G,KES 39,KES 55,https://naivas.online/naivas-potato-crisps-barbeque-30g
Food Cupboard,Tropical Heroes F/Chutney Crisps 40G,KES 49,KES 60,https://naivas.online/tropical-heroes-fruit-chutney-crisps-40-g
Food Cupboard,Orbit Bubblemint 10'S,KES 70,No discount,https://naivas.online/orbit-bubblemint-sugar-free-gum-10-pieces
Food Cupboard,Economy White Sugar 2 Kg,KES 279,No discount,https://naivas.online/economy-white-sugar-2-kg
Food Cupboard,Daawat Aromatic Rice 2Kg,KES 595,No discount,https://naivas.online/daawat-aromatic-rice-2kg
Food Cupboard,Sunrice Pishori Rice 2Kg,KES 449,KES 589,https://naivas.online/sunrice-mwea-pishori-2kg
Food Cupboard,Farmnaivas Pishori Rice 5 Kg,KES 999,"KES 1,315",https://naivas.online/farmnaivas-pishori-rice-5-kg
Food Cupboard,Naivas Pakistan Long Grain Rice 2Kg,KES 290,KES 320,https://naivas.online/naivas-pakistan-long-grain-rice-2kg
Food Cupboard,Naivas Wairimu Beans 1Kg,KES 219,KES 249,https://naivas.online/naivas-wairimu-beans-1kg
Food Cupboard,Farmnaivas Pakistani Rice 1 Kg,KES 160,No discount,https://naivas.online/farmnaivas-pakistani-rice-1-kg
Food Cupboard,Naivas Njahi 1Kg,KES 249,No discount,https://naivas.online/naivas-njahi-1kg
Food Cupboard,Farmnaivas Popcorn 500Gm,KES 159,No discount,https://naivas.online/farmnaivas-popcorn-500g
Food Cupboard,Farmnaivas Pishori Rice 2 Kg,KES 489,KES 530,https://naivas.online/farmnaivas-pishori-rice-2-kg
Food Cupboard,Farmnaivas Thailand Rice 2 Kg,KES 399,KES 470,https://naivas.online/farmnaivas-thailand-rice-2-kg
Food Cupboard,Farmnaivas Popcorn 1Kg,KES 319,No discount,https://naivas.online/farmnaivas-popcorn-1kg
Food Cupboard,Naivas White Long Grain Rice 5Kg,KES 699,KES 800,https://naivas.online/naivas-white-long-grain-rice-5kg
Food Cupboard,Farmnaivas Thailand Rice 1 Kg,KES 240,No discount,https://naivas.online/farmnaivas-thailand-rice-1-kg
Food Cupboard,Naivas Mwitemania 1Kg,KES 265,No discount,https://naivas.online/naivas-mwitemania-1kg
Food Cupboard,Farmnaivas Rosecoco 1 Kg,KES 299,No discount,https://naivas.online/farmnaivas-rosecoco-1-kg
Food Cupboard,Naivas Kenya Pishori Rice 1Kg,KES 265,No discount,https://naivas.online/naivas-kenya-pishori-rice-1kg
Food Cupboard,Farmnaivas Thailand Rice 5 Kg,KES 989,"KES 1,165",https://naivas.online/farmnaivas-thailand-rice-5-kg
Food Cupboard,Naivas Tomato Tom Crisps 30G,KES 39,KES 55,https://naivas.online/naivas-potato-crisps-tomato-30g
Food Cupboard,Naivas Salted Crisps 30Gm,KES 39,KES 55,https://naivas.online/naivas-potato-crisps-salted-30g
Food Cupboard,Naivas Cheese&Onio Crisps 30G,KES 39,KES 55,https://naivas.online/naivas-potato-crisps-cheese-&-onion-30g
Food Cupboard,Naivas Salt&Vinegar Crisps 30G,KES 39,KES 55,https://naivas.online/naivas-potato-crisps-salt-&-vinegar-30g
